ID|Municipio|UF|Latitude|Longitude
529|SANTA MERCEDES|SP|-21.3510|-51.7550
530|SANTA RITA D'OESTE|SP|-20.1430|-50.8330
531|SANTA RITA DO PASSA QUATRO|SP|-21.7100|-47.4780
532|SANTA ROSA DE VITERBO|SP|-21.4730|-47.3630
533|SANTA SALETE|SP|-20.2450|-50.6880
534|SANTANA DA PONTE PENSA|SP|-20.2530|-50.7970
535|SANTANA DE PARNAIBA|SP|-23.4440|-46.9180
536|SANTO ANASTACIO|SP|-21.9770|-51.6520
537|SANTO ANDRE|SP|-23.6640|-46.5380
538|SANTO ANTONIO DA ALEGRIA|SP|-21.0870|-47.1510
539|SANTO ANTONIO DE POSSE|SP|-22.6060|-46.9190
540|SANTO ANTONIO DO ARACANGUA|SP|-20.9370|-50.4960
541|SANTO ANTONIO DO JARDIM|SP|-22.1160|-46.6800
542|SANTO ANTONIO DO PINHAL|SP|-22.8270|-45.6630
543|SANTO EXPEDITO|SP|-21.8510|-51.3920
544|SANTOPOLIS DO AGUAPEI|SP|-21.6380|-50.5000
545|SANTOS|SP|-23.9610|-46.3340
546|SAO BENTO DO SAPUCAI|SP|-22.6890|-45.7310
547|SAO BERNARDO DO CAMPO|SP|-23.6940|-46.5650
548|SAO CAETANO DO SUL|SP|-23.6230|-46.5510
549|SAO CARLOS|SP|-22.0180|-47.8910
550|SAO FRANCISCO|SP|-20.3590|-50.6970
551|SAO JOAO DA BOA VISTA|SP|-21.9690|-46.7980
552|SAO JOAO DAS DUAS PONTES|SP|-20.3890|-50.3780
553|SAO JOAO DE IRACEMA|SP|-20.5130|-50.3520
554|SAO JOAO DO PAU D'ALHO|SP|-21.2680|-51.6660
555|SAO JOAQUIM DA BARRA|SP|-20.5810|-47.8550
556|SAO JOSE DA BELA VISTA|SP|-20.5930|-47.6400
557|SAO JOSE DO BARREIRO|SP|-22.6450|-44.5780
558|SAO JOSE DO RIO PARDO|SP|-21.5960|-46.8890
559|SAO JOSE DO RIO PRETO|SP|-20.8200|-49.3790
560|SAO JOSE DOS CAMPOS|SP|-23.1790|-45.8870
561|SAO LOURENCO DA SERRA|SP|-23.8530|-46.9430
562|SAO LUIS DO PARAITINGA|SP|-23.2220|-45.3100
563|SAO MANUEL|SP|-22.7310|-48.5710
564|SAO MIGUEL ARCANJO|SP|-23.8780|-47.9970
565|SAO PAULO|SP|-23.5480|-46.6360
566|SAO PEDRO|SP|-22.5490|-47.9140
567|SAO PEDRO DO TURVO|SP|-22.7470|-49.7400
568|SAO ROQUE|SP|-23.5290|-47.1350
569|SAO SEBASTIAO|SP|-23.7600|-45.4100
570|SAO SEBASTIAO DA GRAMA|SP|-21.7110|-46.8210
571|SAO SIMAO|SP|-21.4790|-47.5510
572|SAO VICENTE|SP|-23.9630|-46.3920
573|SARAPUI|SP|-23.6410|-47.8250
574|SARUTAIA|SP|-23.2730|-49.4800
575|SEBASTIANOPOLIS DO SUL|SP|-20.6550|-49.9210
576|SERRA AZUL|SP|-21.3110|-47.5660
577|SERRA NEGRA|SP|-22.6120|-46.7010
578|SERRANA|SP|-21.2110|-47.5960
579|SERTAOZINHO|SP|-21.1380|-47.9900
580|SETE BARRAS|SP|-24.3880|-47.9260
581|SEVERINIA|SP|-20.8090|-48.8030
582|SILVEIRAS|SP|-22.6640|-44.8530
583|SOCORRO|SP|-22.5910|-46.5290
584|SOROCABA|SP|-23.5020|-47.4580
585|SUD MENNUCCI|SP|-20.6910|-50.9240
586|SUMARE|SP|-22.8220|-47.2670
587|SUZANAPOLIS|SP|-20.5010|-51.0250
588|SUZANO|SP|-23.5430|-46.3110
589|TABAPUA|SP|-20.9640|-49.0320
590|TABATINGA|SP|-21.7170|-48.6880
591|TABOAO DA SERRA|SP|-23.6020|-46.7530
592|TACIBA|SP|-22.3900|-51.2850
593|TAGUAI|SP|-23.4520|-49.4090
594|TAIACU|SP|-21.1440|-48.5130
595|TAIUVA|SP|-21.1240|-48.4520
596|TAMBAU|SP|-21.7050|-47.2740
597|TANABI|SP|-20.6260|-49.6490
598|TAPIRAI|SP|-23.9640|-47.5070
599|TAPIRATIBA|SP|-21.4680|-46.7490
600|TAQUARAL|SP|-21.0720|-48.4100
601|TAQUARITINGA|SP|-21.4060|-48.5050
602|TAQUARITUBA|SP|-23.5330|-49.2440
603|TAQUARIVAI|SP|-23.9240|-48.6930
604|TARABAI|SP|-22.3030|-51.5590
605|TARUMA|SP|-22.7470|-50.5770
606|TATUI|SP|-23.3560|-47.8570
607|TAUBATE|SP|-23.0260|-45.5550
608|TEJUPA|SP|-23.3430|-49.3760
609|TEODORO SAMPAIO|SP|-22.5330|-52.1680
610|TERRA ROXA|SP|-20.7890|-48.3300
611|TIETE|SP|-23.1020|-47.7150
612|TIMBURI|SP|-23.2050|-49.6070
613|TORRE DE PEDRA|SP|-23.2440|-48.1950
614|TORRINHA|SP|-22.4260|-48.1690
615|TRABIJU|SP|-22.0420|-48.3360
616|TREMEMBE|SP|-22.9580|-45.5490
617|TRES FRONTEIRAS|SP|-20.2350|-50.8900
618|TUIUTI|SP|-22.8160|-46.6940
619|TUPA|SP|-21.9350|-50.5140
620|TUPI PAULISTA|SP|-21.3810|-51.5710
621|TURIUBA|SP|-20.9330|-50.1080
622|TURMALINA|SP|-20.0520|-50.4760
623|UBARANA|SP|-21.1660|-49.7180
624|UBATUBA|SP|-23.4340|-45.0710
625|UBIRAJARA|SP|-22.5270|-49.6630
626|UCHOA|SP|-20.9530|-49.1750
627|UNIAO PAULISTA|SP|-20.8870|-49.8970
628|URANIA|SP|-20.2460|-50.6430
629|URU|SP|-21.7840|-49.2810
630|URUPES|SP|-21.2020|-49.2900
631|VALENTIM GENTIL|SP|-20.4220|-50.0880
632|VALINHOS|SP|-22.9710|-46.9960
633|VALPARAISO|SP|-21.2280|-50.8680
634|VARGEM|SP|-22.8890|-46.4140
635|VARGEM GRANDE DO SUL|SP|-21.8320|-46.8940
636|VARGEM GRANDE PAULISTA|SP|-23.6030|-47.0260
637|VARZEA PAULISTA|SP|-23.2110|-46.8280
638|VERA CRUZ|SP|-22.2200|-49.8190
639|VINHEDO|SP|-23.0300|-46.9750
640|VIRADOURO|SP|-20.8730|-48.2970
641|VISTA ALEGRE DO ALTO|SP|-21.1710|-48.6290
642|VITORIA BRASIL|SP|-20.1970|-50.4840
643|VOTORANTIM|SP|-23.5470|-47.4380
644|VOTUPORANGA|SP|-20.4230|-49.9730
645|ZACARIAS|SP|-21.0520|-50.0510
