ID|Municipio|UF|Latitude|Longitude
122|CARAPICUIBA|SP|-23.5230|-46.8360
123|CARDOSO|SP|-20.0820|-49.9140
124|CASA BRANCA|SP|-21.7740|-47.0860
125|CASSIA DOS COQUEIROS|SP|-21.2830|-47.1700
126|CASTILHO|SP|-20.8720|-51.4880
127|CATANDUVA|SP|-21.1380|-48.9730
128|CATIGUA|SP|-21.0490|-49.0580
129|CEDRAL|SP|-20.9030|-49.2680
130|CERQUEIRA CESAR|SP|-23.0360|-49.1660
131|CERQUILHO|SP|-23.1650|-47.7440
132|CESARIO LANGE|SP|-23.2270|-47.9530
133|CHARQUEADA|SP|-22.5100|-47.7780
134|CHAVANTES|SP|-23.0390|-49.7090
135|CLEMENTINA|SP|-21.5600|-50.4490
136|COLINA|SP|-20.7130|-48.5410
137|COLOMBIA|SP|-20.1760|-48.6890
138|CONCHAL|SP|-22.3300|-47.1730
139|CONCHAS|SP|-23.0150|-48.0110
140|CORDEIROPOLIS|SP|-22.4820|-47.4570
141|COROADOS|SP|-21.3520|-50.2810
142|CORONEL MACEDO|SP|-23.6310|-49.3140
143|CORUMBATAI|SP|-22.2200|-47.6260
144|COSMOPOLIS|SP|-22.6460|-47.1960
145|COSMORAMA|SP|-20.4780|-49.7780
146|COTIA|SP|-23.6040|-46.9190
147|CRAVINHOS|SP|-21.3400|-47.7290
148|CRISTAIS PAULISTA|SP|-20.3970|-47.4200
149|CRUZALIA|SP|-22.6770|-50.7940
150|CRUZEIRO|SP|-22.5760|-44.9630
151|CUBATAO|SP|-23.8950|-46.4250
152|CUNHA|SP|-23.0740|-44.9600
153|DESCALVADO|SP|-21.9040|-47.6190
154|DIADEMA|SP|-23.6860|-46.6230
155|DIRCE REIS|SP|-20.4660|-50.6060
156|DIVINOLANDIA|SP|-21.6610|-46.7390
157|DOBRADA|SP|-21.5170|-48.3940
158|DOIS CORREGOS|SP|-22.3660|-48.3800
159|DOLCINOPOLIS|SP|-20.1230|-50.5130
160|DOURADO|SP|-22.1000|-48.3180
161|DRACENA|SP|-21.4830|-51.5330
162|DUARTINA|SP|-22.4140|-49.4040
163|DUMONT|SP|-21.2360|-47.9730
164|ECHAPORA|SP|-22.4290|-50.2010
165|ELDORADO|SP|-24.5200|-48.1080
166|ELIAS FAUSTO|SP|-23.0430|-47.3740
167|ELISIARIO|SP|-21.1660|-49.1120
168|EMBAUBA|SP|-20.9830|-48.8360
169|EMBU DAS ARTES|SP|-23.6490|-46.8520
170|EMBU-GUACU|SP|-23.8320|-46.8110
171|EMILIANOPOLIS|SP|-21.8330|-51.4830
172|ENGENHEIRO COELHO|SP|-22.4880|-47.2150
173|ESPIRITO SANTO DO PINHAL|SP|-22.1910|-46.7410
174|ESPIRITO SANTO DO TURVO|SP|-22.6920|-49.4300
175|ESTIVA GERBI|SP|-22.2710|-46.9450
176|ESTRELA D'OESTE|SP|-20.2880|-50.4010
177|ESTRELA DO NORTE|SP|-22.4880|-51.6600
