ID|IBGE_7|IBGE_6|Municipio_real|UF|Latitude|Longitude|Municipio_ficticio
83|3507308|350730|BORACEIA|SP|-22.193|-48.779|BONO
84|3507407|350740|BORBOREMA|SP|-21.62|-49.074|BOSCHIGLIA
85|3507456|350745|BOREBI|SP|-22.569|-48.971|BOTCHER
86|3507506|350750|BOTUCATU|SP|-22.886|-48.445|BOTHREL
87|3507605|350760|BRAGANCA PAULISTA|SP|-22.952|-46.542|BRANDINI
88|3507704|350770|BRAUNA|SP|-21.499|-50.316|BREIA
89|3507753|350775|BREJO ALEGRE|SP|-21.166|-50.185|BREITSCHAFT
90|3507803|350780|BRODOWSKI|SP|-20.991|-47.659|BREULING
91|3507902|350790|BROTAS|SP|-22.284|-48.127|BROKAMP
92|3508009|350800|BURI|SP|-23.798|-48.593|BRUNORO
93|3508108|350810|BURITAMA|SP|-21.066|-50.147|BUCALLON
94|3508207|350820|BURITIZAL|SP|-20.191|-47.708|BUCATER
95|3508306|350830|CABRALIA PAULISTA|SP|-22.456|-49.338|BUCHMAN
96|3508405|350840|CABREUVA|SP|-23.308|-47.133|BUFFULIN
97|3508504|350850|CACAPAVA|SP|-23.101|-45.707|BUJEDA
98|3508603|350860|CACHOEIRA PAULISTA|SP|-22.665|-45.009|BUKAHI
99|3508702|350870|CACONDE|SP|-21.529|-46.644|BUN
100|3508801|350880|CAFELANDIA|SP|-21.803|-49.61|BURGADAO
101|3508900|350890|CAIABU|SP|-22.012|-51.236|BUSSAMRA
102|3509007|350900|CAIEIRAS|SP|-23.364|-46.741|BUTTCHEVITS
103|3509106|350910|CAIUA|SP|-21.832|-51.998|BUTTURINI
104|3509205|350920|CAJAMAR|SP|-23.356|-46.877|BUZAIN
105|3509254|350925|CAJATI|SP|-24.736|-48.123|BUZOLIN
106|3509304|350930|CAJOBI|SP|-20.88|-48.809|CAIMAR
107|3509403|350940|CAJURU|SP|-21.275|-47.304|CALCAGNOTTO
108|3509452|350945|CAMPINA DO MONTE ALEGRE|SP|-23.592|-48.477|CALDERINI
109|3509502|350950|CAMPINAS|SP|-22.906|-47.061|CALEFFI
110|3509601|350960|CAMPO LIMPO PAULISTA|SP|-23.206|-46.784|CALMANOVICI
111|3509700|350970|CAMPOS DO JORDAO|SP|-22.739|-45.591|CAMILATO
112|3509809|350980|CAMPOS NOVOS PAULISTA|SP|-22.603|-50.003|CAMPALDI
113|3509908|350990|CANANEIA|SP|-25.015|-47.927|CAMPEAN
114|3509957|350995|CANAS|SP|-22.704|-45.055|CAMPOZANA
115|3510005|351000|CANDIDO MOTA|SP|-22.746|-50.387|CANATTO
116|3510104|351010|CANDIDO RODRIGUES|SP|-21.325|-48.631|CANCADO
117|3510153|351015|CANITAR|SP|-23.006|-49.783|CANETT
118|3510203|351020|CAPAO BONITO|SP|-24.006|-48.349|CANEVESE
119|3510302|351030|CAPELA DO ALTO|SP|-23.471|-47.735|CANHASSI
120|3510401|351040|CAPIVARI|SP|-22.995|-47.508|CANONGIA
121|3510500|351050|CARAGUATATUBA|SP|-23.62|-45.413|CAPELLESSO
122|3510609|351060|CARAPICUIBA|SP|-23.523|-46.836|CAPIOTTI
123|3510708|351070|CARDOSO|SP|-20.082|-49.914|CAPPUA
124|3510807|351080|CASA BRANCA|SP|-21.774|-47.086|CARDIA
125|3510906|351090|CASSIA DOS COQUEIROS|SP|-21.283|-47.17|CARDIANO
126|3511003|351100|CASTILHO|SP|-20.872|-51.488|CARPANESE
127|3511102|351110|CATANDUVA|SP|-21.138|-48.973|CARVALHEIRA
128|3511201|351120|CATIGUA|SP|-21.049|-49.058|CASCIANO
129|3511300|351130|CEDRAL|SP|-20.903|-49.268|CASTALDELLI
130|3511409|351140|CERQUEIRA CESAR|SP|-23.036|-49.166|CATANIO
131|3511508|351150|CERQUILHO|SP|-23.165|-47.744|CATUCA
132|3511607|351160|CESARIO LANGE|SP|-23.227|-47.953|CAVICHIOLI
133|3511706|351170|CHARQUEADA|SP|-22.51|-47.778|CAVIGNATO
134|3511904|351190|CLEMENTINA|SP|-21.56|-50.449|CAZAROTTI
135|3512001|351200|COLINA|SP|-20.713|-48.541|CEIGOL
136|3512100|351210|COLOMBIA|SP|-20.176|-48.689|CELDEIRA
137|3512209|351220|CONCHAL|SP|-22.33|-47.173|CELONI
138|3512308|351230|CONCHAS|SP|-23.015|-48.011|CELSO
139|3512407|351240|CORDEIROPOLIS|SP|-22.482|-47.457|CENCIANI
140|3512506|351250|COROADOS|SP|-21.352|-50.281|CENEDESE
141|3512605|351260|CORONEL MACEDO|SP|-23.631|-49.314|CERCATO
142|3512704|351270|CORUMBATAI|SP|-22.22|-47.626|CETOLIN
143|3512803|351280|COSMOPOLIS|SP|-22.646|-47.196|CHAMONGE
144|3512902|351290|COSMORAMA|SP|-20.478|-49.778|CHAVEZ
145|3513009|351300|COTIA|SP|-23.604|-46.919|CHEMP
146|3513108|351310|CRAVINHOS|SP|-21.34|-47.729|CHIAVEGATO
147|3513207|351320|CRISTAIS PAULISTA|SP|-20.397|-47.42|CHIECON
148|3513306|351330|CRUZALIA|SP|-22.677|-50.794|CHIOSEA
149|3513405|351340|CRUZEIRO|SP|-22.576|-44.963|CHIRI
150|3513504|351350|CUBATAO|SP|-23.895|-46.425|CHIZZOTTI
151|3513603|351360|CUNHA|SP|-23.074|-44.96|CHOMSKI
152|3513702|351370|DESCALVADO|SP|-21.904|-47.619|CHOTE
153|3513801|351380|DIADEMA|SP|-23.686|-46.623|CHREEM
154|3513850|351385|DIRCE REIS|SP|-20.466|-50.606|CIANCIARULO
155|3513900|351390|DIVINOLANDIA|SP|-21.661|-46.739|CICALA
156|3514007|351400|DOBRADA|SP|-21.517|-48.394|CINQUE
157|3514106|351410|DOIS CORREGOS|SP|-22.366|-48.38|CIRAVEGNA
158|3514205|351420|DOLCINOPOLIS|SP|-20.123|-50.513|CIROTTO
159|3514304|351430|DOURADO|SP|-22.1|-48.318|CIVOLANI
160|3514403|351440|DRACENA|SP|-21.483|-51.533|CLARETO
161|3514502|351450|DUARTINA|SP|-22.414|-49.404|COMARU
162|3514601|351460|DUMONT|SP|-21.236|-47.973|COMETTE
163|3514700|351470|ECHAPORA|SP|-22.429|-50.201|COMETTI
164|3514809|351480|ELDORADO|SP|-24.52|-48.108|CONCER
165|3514908|351490|ELIAS FAUSTO|SP|-23.043|-47.374|CONTAIFER
166|3514924|351492|ELISIARIO|SP|-21.166|-49.112|CONTRI
167|3514957|351495|EMBAUBA|SP|-20.983|-48.836|COQUI
168|3515004|351500|EMBU DAS ARTES|SP|-23.649|-46.852|CORGA
169|3515103|351510|EMBU-GUACU|SP|-23.832|-46.811|CORTASIO
170|3515129|351512|EMILIANOPOLIS|SP|-21.833|-51.483|COSANDEY
171|3515152|351515|ENGENHEIRO COELHO|SP|-22.488|-47.215|COSLOVSKY
172|3515186|351518|ESPIRITO SANTO DO PINHAL|SP|-22.191|-46.741|COSTIM
173|3515194|351519|ESPIRITO SANTO DO TURVO|SP|-22.692|-49.43|COVOLAN
174|3515202|351520|ESTRELA D'OESTE|SP|-20.288|-50.401|CRESCENTE
175|3515301|351530|ESTRELA DO NORTE|SP|-22.488|-51.66|CROT
176|3515350|351535|EUCLIDES DA CUNHA PAULISTA|SP|-22.561|-52.59|CSASZAR
177|3515400|351540|FARTURA|SP|-23.388|-49.51|CSILLAG
178|3515509|351550|FERNANDOPOLIS|SP|-20.284|-50.246|CUIM
179|3515608|351560|FERNANDO PRESTES|SP|-21.264|-48.685|CUNTO
180|3515657|351565|FERNAO|SP|-22.359|-49.521|CUSSOLIN
181|3515707|351570|FERRAZ DE VASCONCELOS|SP|-23.541|-46.369|DALAGO
182|3515806|351580|FLORA RICA|SP|-21.676|-51.384|DALO
183|3515905|351590|FLOREAL|SP|-20.677|-50.145|DALPONTE
184|3516002|351600|FLORIDA PAULISTA|SP|-21.615|-51.174|DALVI
185|3516101|351610|FLORINIA|SP|-22.903|-50.738|DELALIBERA
186|3516200|351620|FRANCA|SP|-20.539|-47.401|DELAMICO
187|3516309|351630|FRANCISCO MORATO|SP|-23.282|-46.745|DELAQUILA
188|3516408|351640|FRANCO DA ROCHA|SP|-23.322|-46.727|DEPELEGRIN
189|3516507|351650|GABRIEL MONTEIRO|SP|-21.531|-50.555|DESCALZO
190|3516606|351660|GALIA|SP|-22.291|-49.553|DEVECZ
191|3516705|351670|GARCA|SP|-22.211|-49.656|DHOM
192|3516804|351680|GASTAO VIDIGAL|SP|-20.799|-50.187|DICHARI
193|3516853|351685|GAVIAO PEIXOTO|SP|-21.839|-48.495|DOERNTE
194|3516903|351690|GENERAL SALGADO|SP|-20.648|-50.361|DOUTOR
195|3517000|351700|GETULINA|SP|-21.799|-49.929|DUMONCEL
196|3517109|351710|GLICERIO|SP|-21.384|-50.211|DUVA
197|3517208|351720|GUAICARA|SP|-21.622|-49.799|DYNA
198|3517307|351730|GUAIMBE|SP|-21.91|-49.897|EFROMOVICH
199|3517406|351740|GUAIRA|SP|-20.318|-48.311|EJZENBERG
200|3517505|351750|GUAPIACU|SP|-20.795|-49.22|ELESBAO
201|3517604|351760|GUAPIARA|SP|-24.185|-48.533|EMBU GUACU
202|3517703|351770|GUARA|SP|-20.428|-47.824|EMERIM
203|3517802|351780|GUARACAI|SP|-21.028|-51.207|ENTA
204|3517901|351790|GUARACI|SP|-20.499|-48.945|ESTEFANE
205|3518008|351800|GUARANI D'OESTE|SP|-20.075|-50.339|ESTRUTTI
206|3518107|351810|GUARANTA|SP|-21.895|-49.59|EUM
207|3518206|351820|GUARARAPES|SP|-21.261|-50.643|FAE
208|3518305|351830|GUARAREMA|SP|-23.415|-46.035|FAGAN
209|3518404|351840|GUARATINGUETA|SP|-22.816|-45.193|FAJERSZTAJN
210|3518503|351850|GUAREI|SP|-23.373|-48.184|FANTINATI
211|3518602|351860|GUARIBA|SP|-21.36|-48.228|FANZERES
212|3518701|351870|GUARUJA|SP|-23.993|-46.256|FAULSTICH
213|3518800|351880|GUARULHOS|SP|-23.463|-46.533|FECK
214|3518859|351885|GUATAPARA|SP|-21.497|-48.038|FEDRI
215|3518909|351890|GUZOLANDIA|SP|-20.65|-50.662|FELETO
216|3519006|351900|HERCULANDIA|SP|-22.004|-50.385|FELIPPE
217|3519055|351905|HOLAMBRA|SP|-22.633|-47.056|FENERICH
218|3519071|351907|HORTOLANDIA|SP|-22.858|-47.22|FEROLA
219|3519105|351910|IACANGA|SP|-21.89|-49.025|FICEL
220|3519204|351920|IACRI|SP|-21.858|-50.689|FILARETO
221|3519253|351925|IARAS|SP|-22.871|-49.163|FILIAGI
222|3519303|351930|IBATE|SP|-21.955|-47.997|FINI
223|3519402|351940|IBIRA|SP|-21.08|-49.241|FINOCCHIO
224|3519501|351950|IBIRAREMA|SP|-22.818|-50.073|FLEISCHNER
